"","subject","age_months","gender","outcome_order","domain","task","expected","unexpected","diff_log"
"1",2,21.9,"male","exp_first","physical","containment",3.01357219168232,2.41591377830105,-0.597658413381273
"2",2,21.9,"male","exp_first","physical","continuity",3.31758324162102,3.19785645764413,-0.119726783976897
"3",2,21.9,"male","exp_first","physical","solidity",2.99706649656713,2.8402473707136,-0.156819125853532
"4",2,21.9,"male","exp_first","physical","support",2.52412736294128,2.36085400111802,-0.16327336182326
"5",2,21.9,"male","exp_first","social","drink",3.37823891210625,3.30561906939879,-0.0726198427074571
"6",2,21.9,"male","exp_first","social","fairness",3.40119738166216,3.27229076078711,-0.128906620875046
"7",2,21.9,"male","exp_first","social","reach",3.31467203141356,2.47210755286916,-0.842564478544405
"8",2,21.9,"male","exp_first","social","snack",3.18469837306661,2.93943738373049,-0.245260989336123
"9",3,23.3,"female","unexp_first","physical","containment",2.15640258281596,2.61885462229774,0.462452039481775
"10",3,23.3,"female","unexp_first","physical","solidity",2.03995377017272,2.67827804276854,0.638324272595822
"11",3,23.3,"female","unexp_first","physical","support",1.93441576962958,2.47148362945586,0.537067859826281
"12",3,23.3,"female","unexp_first","social","drink",2.59359939112164,2.76028139332766,0.16668200220602
"13",3,23.3,"female","unexp_first","social","fairness",2.88346497168291,3.09465618947328,0.211191217790369
"14",3,23.3,"female","unexp_first","social","snack",2.52412736294128,3.22499856461313,0.700871201671853
"15",4,21.1,"male","unexp_first","physical","containment",3.33363206216639,3.29435428604411,-0.0392777761222831
"16",4,21.1,"male","unexp_first","physical","continuity",3.29405274421083,3.40119738166216,0.107144637451328
"17",4,21.1,"male","unexp_first","physical","solidity",2.98093711463724,3.23789383070396,0.256956716066719
"18",4,21.1,"male","unexp_first","physical","support",3.34073941262504,3.0521126069901,-0.288626805634943
"19",4,21.1,"male","unexp_first","social","drink",3.37960410003159,3.40119738166216,0.021593281630568
"20",4,21.1,"male","unexp_first","social","fairness",3.40119738166216,3.33093948786862,-0.0702578937935381
"21",4,21.1,"male","unexp_first","social","reach",3.13816444448503,3.40119738166216,0.263032937177127
"22",4,21.1,"male","unexp_first","social","snack",3.40119738166216,3.40119738166216,0
"23",5,21.8,"female","unexp_first","physical","containment",3.06898273529358,2.6447553507299,-0.424227384563688
"24",5,21.8,"female","unexp_first","physical","support",2.67000213346468,3.36453339729056,0.694531263825884
"25",5,21.8,"female","unexp_first","social","reach",2.41233595695316,3.03687421688517,0.624538259932002
"26",6,20.6,"female","exp_first","physical","containment",2.55256529826182,1.81807677754543,-0.734488520716387
"27",6,20.6,"female","exp_first","physical","continuity",2.66432739008838,2.90142159408275,0.237094203994371
"28",6,20.6,"female","exp_first","social","drink",2.97686378924961,2.97678718731154,-7.66019380664673e-05
"29",7,20.3,"female","unexp_first","physical","containment",2.73176672771953,2.96938829821439,0.237621570494863
"30",7,20.3,"female","unexp_first","physical","continuity",2.35974350683399,2.68375750853317,0.324014001699171
"31",7,20.3,"female","unexp_first","physical","solidity",3.31769966915859,3.33932197794407,0.0216223087854734
"32",7,20.3,"female","unexp_first","physical","support",3.07454345397828,3.30321697330195,0.22867351932367
"33",7,20.3,"female","unexp_first","social","drink",2.91585644114158,2.83856095038281,-0.0772954907587731
"34",7,20.3,"female","unexp_first","social","fairness",1.72623718018035,2.36268901706375,0.6364518368834
"35",7,20.3,"female","unexp_first","social","reach",3.08824320610966,3.27585573103185,0.187612524922186
"36",7,20.3,"female","unexp_first","social","snack",3.40119738166216,3.26556574960213,-0.135631632060021
"37",8,23.2,"female","unexp_first","physical","containment",2.12823170584927,2.50143595173921,0.373204245889943
"38",8,23.2,"female","unexp_first","physical","continuity",3.07350997459668,3.28989331210348,0.216383337506806
